,CAD Event Number,Event Clearance Description,Call Type,Priority,Initial Call Type,Final Call Type,Original Time Queued,Arrived Time,Precinct,Sector,Beat
568621,2015000209707,ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",3,"HARAS - NO BIAS, THREATS OR MALICIOUSNESS",--MISCHIEF OR NUISANCE - GENERAL,06/21/2015 07:56:18 PM,06/22/2015 03:51:03 AM,NORTH,UNION,U3
4061401,2018000256992,REPORT WRITTEN (NO ARREST),ONVIEW,4,PROPERTY - FOUND,--PROPERTY - FOUND PROPERTY,07/13/2018 05:16:22 AM,07/13/2018 05:16:22 AM,SOUTH,ROBERT,R1
2682028,2019000065156,ASSISTANCE RENDERED,911,1,DOWN - CHECK FOR PERSON DOWN,--PROWLER - TRESPASS,02/21/2019 12:10:05 PM,02/21/2019 12:20:34 PM,SOUTHWEST,WILLIAM,W2
4797812,2012000161605,REPORT WRITTEN (NO ARREST),ONVIEW,3,THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),--THEFT - ALL OTHER,05/25/2012 06:06:23 PM,05/25/2012 06:06:23 PM,WEST,QUEEN,Q3
779501,2013000263627,ASSISTANCE RENDERED,ONVIEW,7,SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,--SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,07/24/2013 03:31:43 PM,07/24/2013 03:31:43 PM,SOUTH,OCEAN,O3
3822166,2020000193174,REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",3,AUTO THEFT - VEH THEFT OR THEFT & RECOVERY,--AUTOMOBILES - AUTO THEFT,06/21/2020 01:00:28 PM,06/21/2020 03:09:47 PM,SOUTHWEST,FRANK,F3
3039426,2011000094368,CITATION ISSUED (CRIMINAL OR NON-CRIMINAL),ONVIEW,7,TRAFFIC STOP - OFFICER INITIATED ONVIEW,--TRAFFIC - MOVING VIOLATION,03/23/2011 04:30:41 PM,03/23/2011 04:30:41 PM,SOUTH,OCEAN,O1
3728244,2015000108574,ASSISTANCE RENDERED,911,2,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT","--SUSPICIOUS CIRCUM. - BUILDING (OPEN DOOR, ETC)",04/03/2015 12:29:48 PM,04/03/2015 12:45:20 PM,WEST,DAVID,D1
3143209,2013000235398,ORAL WARNING GIVEN,ONVIEW,7,TRAFFIC STOP - OFFICER INITIATED ONVIEW,--TRAFFIC - MOVING VIOLATION,07/04/2013 07:56:52 PM,07/04/2013 07:56:52 PM,UNKNOWN,,CTY
173745,2020000276487,ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",2,ASSIST OTHER AGENCY - ROUTINE SERVICE,--ASSIST OTHER AGENCY - COUNTY AGENCY,09/25/2020 09:54:44 AM,09/25/2020 10:16:41 AM,NORTH,NORA,N1
3355456,2010000001617,ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",2,TRAFFIC - BLOCKING ROADWAY,--TRAFFIC - ASSIST MOTORIST,01/02/2010 01:07:04 PM,01/02/2010 01:15:38 PM,NORTH,UNION,U2
981835,2017000113687,REPORT WRITTEN (NO ARREST),ONVIEW,3,THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),--THEFT - CAR PROWL,04/01/2017 08:58:18 AM,04/01/2017 08:58:18 AM,WEST,MARY,M3
1224381,2017000261189,ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",2,SERVICE - WELFARE CHECK,--ASSIST PUBLIC - OTHER (NON-SPECIFIED),07/18/2017 02:34:20 AM,07/18/2017 02:56:42 AM,WEST,DAVID,D1
2925416,2018000249418,ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",1,"CHILD - ABAND, ABUSED, MOLESTED, NEGLECTED","--CHILD - ABANDONED, ABUSED AND NEGLECTED",07/07/2018 07:32:23 PM,01/01/1900 12:00:00 AM,NORTH,NORA,N3
4203384,2018000014051,ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",--PREMISE CHECKS - CRIME PREVENTION,01/12/2018 09:46:25 AM,01/12/2018 09:46:25 AM,WEST,DAVID,D1
1319165,2018000207057,ASSISTANCE RENDERED,ONVIEW,3,ASSIST PUBLIC - NO WELFARE CHK OR DV ORDER SERVICE,--ASSIST PUBLIC - OTHER (NON-SPECIFIED),06/08/2018 01:29:17 AM,06/08/2018 01:29:17 AM,EAST,EDWARD,E2
3372699,2014000079587,ASSISTANCE RENDERED,911,4,"NOISE - DIST, GENERAL (CONST, RESID, BALL PLAY)",--DISTURBANCE - NOISE,03/15/2014 01:44:46 AM,03/15/2014 02:36:23 AM,EAST,EDWARD,E2
3327227,2009000235782,REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",6,SECONDARY - THEFT (NOT SHOPLIFT OR SERVICES),--THEFT - CAR PROWL,07/07/2009 09:38:07 AM,07/07/2009 10:25:28 AM,NORTH,LINCOLN,L2
544512,2021000250439,-,ONVIEW,3,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",09/22/2021 09:29:09 PM,09/22/2021 09:29:09 PM,SOUTH,SAM,S3
4714639,2009000248572,NO POLICE ACTION POSSIBLE OR NECESSARY,ONVIEW,7,TRAFFIC STOP - OFFICER INITIATED ONVIEW,--SUSPICIOUS CIRCUM. - SUSPICIOUS VEHICLE,07/17/2009 02:01:15 AM,07/17/2009 02:01:15 AM,SOUTHWEST,FRANK,F1
2071712,2013000325724,FALSE COMPLAINT/UNFOUNDED,ALARM CALL (NOT POLICE ALARM),3,"ALARM - RESIDENTIAL - BURGLARY, SILENT/AUDIBLE","--ALARM-COMM (INC BANK, ATM, SCHOOLS, BSN)",09/07/2013 07:33:55 PM,09/07/2013 07:55:09 PM,WEST,QUEEN,Q1
3787465,2010000045118,ASSISTANCE RENDERED,911,2,DIST - DV - NO ASLT,"--DV - ARGUMENTS, DISTURBANCE (NO ARREST)",02/08/2010 08:02:05 PM,02/08/2010 08:28:51 PM,EAST,EDWARD,E3
1927484,2022000153381,RESPONDING UNIT(S) CANCELLED BY RADIO,911,2,TRESPASS,--PROWLER - TRESPASS,06/16/2022 05:28:29 AM,01/01/1900 12:00:00 AM,WEST,KING,K3
1638762,2013000219467,ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",--PREMISE CHECKS - CRIME PREVENTION,06/24/2013 12:10:50 AM,06/24/2013 12:10:50 AM,WEST,KING,K2
3725506,2015000010259,ASSISTANCE RENDERED,ONVIEW,9,OFF DUTY EMPLOYMENT,-OFF DUTY EMPLOYMENT,01/10/2015 08:41:55 AM,01/10/2015 08:41:55 AM,WEST,DAVID,D3
1726915,2019000285074,ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",1,"MISSING - (ALZHEIMER, ENDANGERED, ELDERLY)",--PERSON - FOUND PERSON,08/02/2019 04:37:22 PM,08/02/2019 04:56:44 PM,EAST,EDWARD,E3
4913759,2022000083350,FALSE COMPLAINT/UNFOUNDED,ALARM CALL (NOT POLICE ALARM),3,"ALARM - RESIDENTIAL - BURGLARY, SILENT/AUDIBLE",--ALARM-RESIDENTIAL BURG,04/04/2022 07:54:04 AM,04/04/2022 08:17:08 AM,SOUTH,ROBERT,R2
509643,2014000043163,ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",3,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",--SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,02/09/2014 07:33:08 AM,02/09/2014 09:12:06 AM,WEST,QUEEN,Q2
2858402,2022000124574,UNABLE TO LOCATE INCIDENT OR COMPLAINANT,"TELEPHONE OTHER, NOT 911",4,PARKING VIOLATION (EXCEPT ABANDONED CAR),--TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR),05/18/2022 05:08:54 AM,01/01/1900 12:00:00 AM,NORTH,UNION,U1
3705351,2018000347392,OTHER REPORT MADE,ONVIEW,3,NUISANCE - MISCHIEF,--MISCHIEF OR NUISANCE - GENERAL,09/17/2018 10:44:31 AM,09/17/2018 10:44:31 AM,NORTH,BOY,B1
840526,2016000424316,OTHER REPORT MADE,ONVIEW,7,TRAFFIC STOP - OFFICER INITIATED ONVIEW,--TRAFFIC - MOVING VIOLATION,11/24/2016 08:31:13 AM,11/24/2016 08:31:13 AM,SOUTH,OCEAN,O1
2597325,2020000069201,ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",2,SERVICE - WELFARE CHECK,--ASSIST OTHER AGENCY - STATE AGENCY,02/24/2020 12:14:25 PM,02/24/2020 12:32:09 PM,SOUTH,ROBERT,R1
3176776,2015000372640,ASSISTANCE RENDERED,ONVIEW,3,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",--SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,10/24/2015 03:09:29 PM,10/24/2015 03:09:29 PM,WEST,MARY,M1
3574778,2016000110029,PHYSICAL ARREST MADE,ONVIEW,7,TRAFFIC STOP - OFFICER INITIATED ONVIEW,--TRAFFIC - MOVING VIOLATION,03/30/2016 09:10:24 PM,03/30/2016 09:10:24 PM,NORTH,LINCOLN,L3
946197,2018000002108,ASSISTANCE RENDERED,ONVIEW,9,OFF DUTY EMPLOYMENT,-OFF DUTY EMPLOYMENT,01/02/2018 07:04:03 PM,01/02/2018 07:04:03 PM,SOUTH,SAM,S2
3786424,2021000307057,REPORT WRITTEN (NO ARREST),ONVIEW,7,TRAFFIC STOP - OFFICER INITIATED ONVIEW,--TRAFFIC - MOVING VIOLATION,11/19/2021 01:10:59 PM,11/19/2021 01:10:59 PM,SOUTH,ROBERT,R3
3746251,2019000158296,ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",--PREMISE CHECKS - CRIME PREVENTION,05/03/2019 07:18:20 PM,05/03/2019 07:18:20 PM,SOUTH,SAM,S3
3681188,2010000173666,ASSISTANCE RENDERED,911,2,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",--SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,05/26/2010 12:13:50 AM,05/26/2010 12:22:44 AM,NORTH,BOY,B2
732726,2017000303293,OTHER REPORT MADE,ONVIEW,7,TRAFFIC STOP - OFFICER INITIATED ONVIEW,--TRAFFIC - MOVING VIOLATION,08/16/2017 05:27:19 PM,08/16/2017 05:27:19 PM,SOUTHWEST,WILLIAM,W3
2950597,2010000104826,PHYSICAL ARREST MADE,ONVIEW,7,SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,--WARRANT SERVICES - FELONY,03/31/2010 02:09:29 PM,03/31/2010 02:09:29 PM,WEST,KING,K2
4430554,2016000372889,ASSISTANCE RENDERED,911,2,TRAFFIC - BLOCKING ROADWAY,--ASSIST PUBLIC - OTHER (NON-SPECIFIED),10/14/2016 06:39:28 PM,10/14/2016 06:54:26 PM,NORTH,NORA,N2
2874333,2010000420829,ASSISTANCE RENDERED,911,1,UNKNOWN - ANI/ALI - LANDLINE (INCLUDES OPEN LINE),--DISTURBANCE - OTHER,12/06/2010 05:21:38 PM,12/06/2010 05:25:27 PM,SOUTH,SAM,S3
3039767,2015000445281,ASSISTANCE RENDERED,911,2,TRESPASS,--DISTURBANCE - OTHER,12/25/2015 03:15:41 PM,12/25/2015 04:13:50 PM,WEST,DAVID,D2
280714,2013000425735,REPORT WRITTEN (NO ARREST),ONVIEW,5,TRU - THEFT,--THEFT - ALL OTHER,11/25/2013 07:27:02 AM,11/25/2013 07:27:02 AM,EAST,CHARLIE,C1
2943403,2017000228072,FOLLOW-UP REPORT MADE,"TELEPHONE OTHER, NOT 911",3,"PROPERTY - FOUND GUN, SHELLCASINGS","--ASSAULTS, OTHER",06/24/2017 04:55:35 PM,06/24/2017 05:33:49 PM,WEST,QUEEN,Q3
3711255,2013000231678,ASSISTANCE RENDERED,ONVIEW,9,-ASSIGNED DUTY - DETAIL BY SUPERVISOR,-ASSIGNED DUTY - DETAIL BY SUPERVISOR,07/02/2013 10:45:44 AM,07/02/2013 10:45:44 AM,SOUTH,OCEAN,O1
614914,2016000051646,REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",5,TRU - MVC - HIT AND RUN,--TRAFFIC - MV COLLISION INVESTIGATION,02/12/2016 11:00:44 AM,02/12/2016 11:12:34 AM,NORTH,BOY,B2
1947746,2014000342132,UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,1,FIGHT - IP - PHYSICAL (NO WEAPONS),--DISTURBANCE - OTHER,10/12/2014 10:17:33 PM,10/12/2014 10:21:19 PM,WEST,MARY,M1
4296996,2016000265704,RESPONDING UNIT(S) CANCELLED BY RADIO,911,1,ASLT - IP/JO - WITH OR W/O WPNS (NO SHOOTINGS),--ASSIST PUBLIC - OTHER (NON-SPECIFIED),07/24/2016 10:24:10 PM,01/01/1900 12:00:00 AM,NORTH,BOY,B1
1436794,2018000363212,ASSISTANCE RENDERED,911,3,SERVICE - WELFARE CHECK,--ASSIST PUBLIC - OTHER (NON-SPECIFIED),09/28/2018 12:34:42 PM,09/28/2018 12:38:22 PM,WEST,DAVID,D3
198126,2021000222604,FALSE COMPLAINT/UNFOUNDED,911,1,UNKNOWN - ANI/ALI - LANDLINE (INCLUDES OPEN LINE),"--ASSIST PUBLIC - 911 HANG UP, OPEN LINE",08/26/2021 04:34:04 PM,08/26/2021 04:55:44 PM,WEST,KING,K2
356101,2011000110851,CITATION ISSUED (CRIMINAL OR NON-CRIMINAL),"TELEPHONE OTHER, NOT 911",3,PARKING VIOLATION (EXCEPT ABANDONED CAR),--TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR),04/07/2011 09:11:01 AM,01/01/1900 12:00:00 AM,WEST,DAVID,D2
885620,2013000217630,FALSE COMPLAINT/UNFOUNDED,ALARM CALL (NOT POLICE ALARM),2,"ALARM - COMM, HOLD-UP/PANIC (EXCEPT BANKS)",--ALARM-RESIDENTIAL BURG,06/22/2013 04:54:09 PM,06/22/2013 04:57:16 PM,SOUTH,SAM,S3
1550325,2020000080906,ASSISTANCE RENDERED,911,2,TRESPASS,--PROWLER - TRESPASS,03/04/2020 03:56:31 PM,03/04/2020 04:29:54 PM,SOUTHWEST,WILLIAM,W2
4828849,2019000340773,PHYSICAL ARREST MADE,911,1,"DISTURBANCE, MISCELLANEOUS/OTHER",--WARRANT SERVICES - FELONY,09/11/2019 09:27:02 PM,09/11/2019 09:30:29 PM,EAST,CHARLIE,C1
3840483,2009000297890,NO POLICE ACTION POSSIBLE OR NECESSARY,"TELEPHONE OTHER, NOT 911",1,"SUICIDE, SUICIDAL PERSON AND ATTEMPTS","--CASUALTY,NON-TRAF,NON-CRIM - NON-DRUG RELATED",08/23/2009 12:45:45 PM,08/23/2009 12:57:02 PM,SOUTH,ROBERT,R1
3589509,2021000008155,ASSISTANCE RENDERED,911,3,DETOX - REQUEST FOR,--INTOX & LIQ VIOLS - INTOXICATED PERSON,01/10/2021 11:58:55 PM,01/01/1900 12:00:00 AM,WEST,KING,K2
1879890,2015000369235,ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",3,"NOISE - DISTURBANCE (PARTY, ETC)",--DISTURBANCE - FIGHT,10/21/2015 10:03:09 PM,10/21/2015 11:28:45 PM,WEST,KING,K3
2017711,2012000127852,ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",--PREMISE CHECKS - CRIME PREVENTION,04/26/2012 08:24:01 PM,04/26/2012 08:24:01 PM,EAST,CHARLIE,C2
1422534,2017000030526,ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",--PREMISE CHECKS - CRIME PREVENTION,01/25/2017 04:47:25 PM,01/25/2017 04:47:25 PM,SOUTHWEST,WILLIAM,W2
4663248,2015000129165,UNABLE TO LOCATE INCIDENT OR COMPLAINANT,ONVIEW,3,PARKING VIOLATION (EXCEPT ABANDONED CAR),--TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR),04/20/2015 03:17:23 PM,04/20/2015 03:17:23 PM,SOUTHWEST,WILLIAM,W1
2717247,2019000462091,ASSISTANCE RENDERED,ONVIEW,9,OFF DUTY EMPLOYMENT,-OFF DUTY EMPLOYMENT,12/14/2019 07:34:49 AM,12/14/2019 07:34:49 AM,EAST,EDWARD,E3
2602374,2021000234557,REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",5,TRU - THEFT,--THEFT - ALL OTHER,09/07/2021 02:23:29 PM,09/07/2021 02:43:19 PM,SOUTHWEST,WILLIAM,W2
3658279,2014000416664,ASSISTANCE RENDERED,ONVIEW,9,-ASSIGNED DUTY - MEET W/ SUPERVISOR (OUT OF SVC),--SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,12/17/2014 09:39:10 AM,12/17/2014 09:39:10 AM,WEST,KING,K1
1502878,2015000116374,ASSISTANCE RENDERED,911,2,"DISTURBANCE, MISCELLANEOUS/OTHER",--DISTURBANCE - OTHER,04/09/2015 07:24:17 PM,04/09/2015 07:57:14 PM,EAST,EDWARD,E2
3385336,2017000120040,REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",3,"AUTO - THEFT/LOSS, PLATES AND/OR TAB",--THEFT - AUTO ACCESSORIES,04/06/2017 09:07:23 AM,04/06/2017 11:35:13 AM,WEST,KING,K3
402751,2011000314780,PROBLEM SOLVING PROJECT,ONVIEW,3,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",--ASSIST PUBLIC - OTHER (NON-SPECIFIED),09/24/2011 12:31:29 AM,09/24/2011 12:31:29 AM,NORTH,JOHN,J2
3897397,2013000069914,REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",5,TRU - ACC - HIT AND RUN,--TRAFFIC - MV COLLISION INVESTIGATION,03/01/2013 10:12:39 AM,03/01/2013 10:42:19 AM,NORTH,BOY,B1
3547580,2016000462000,ASSISTANCE RENDERED,ONVIEW,3,"DISTURBANCE, MISCELLANEOUS/OTHER",--MISCHIEF OR NUISANCE - GENERAL,12/25/2016 08:07:10 PM,12/25/2016 08:07:10 PM,NORTH,NORA,N3
3381875,2017000155736,ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",--PREMISE CHECKS - CRIME PREVENTION,05/04/2017 12:42:20 PM,05/04/2017 12:42:20 PM,EAST,GEORGE,G3
912076,2020000247994,UNABLE TO LOCATE INCIDENT OR COMPLAINANT,"TELEPHONE OTHER, NOT 911",5,TRU - COMMERCIAL BURGLARY,--BURGLARY - UNOCC STRUC ON RESN PROP,08/23/2020 03:21:49 PM,08/23/2020 03:28:27 PM,WEST,QUEEN,Q3
672279,2020000284314,ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",2,JUVENILE - RUNAWAY PICKUP,--ASSIST OTHER AGENCY - CITY AGENCY,10/04/2020 12:17:23 PM,10/04/2020 12:25:55 PM,EAST,GEORGE,G1
4113712,2022000105976,REPORT WRITTEN (NO ARREST),911,2,BURG - COMM BURGLARY (INCLUDES SCHOOLS),--BURGLARY - NON RESIDENTIAL/COMMERCIAL,04/28/2022 05:22:36 AM,04/28/2022 05:31:17 AM,NORTH,UNION,U3
4498866,2020000009254,ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",--PREMISE CHECKS - HOMELESS ENCAMPMENT,01/08/2020 01:25:22 PM,01/08/2020 01:25:22 PM,NORTH,JOHN,J2
3339989,2019000341902,ASSISTANCE RENDERED,911,2,"MVC - HIT AND RUN (NON INJURY), INCLUDES IP/JO",--TRAFFIC - MV COLLISION INVESTIGATION,09/12/2019 04:32:41 PM,09/12/2019 05:05:50 PM,NORTH,BOY,B2
3270147,2012000420341,ASSISTANCE RENDERED,911,1,UNKNOWN - ANI/ALI - PAY PHNS (INCL OPEN LINE),"--ASSIST PUBLIC - 911 HANG UP, OPEN LINE",12/09/2012 10:26:02 AM,12/09/2012 10:44:51 AM,WEST,MARY,M1
3160479,2012000111862,NO POLICE ACTION POSSIBLE OR NECESSARY,911,3,"NOISE - DISTURBANCE (PARTY, ETC)",--DISTURBANCE - OTHER,04/13/2012 12:08:23 AM,04/13/2012 03:57:33 AM,NORTH,LINCOLN,L3
3890284,2016000262896,OTHER REPORT MADE,ONVIEW,3,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",--SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,07/22/2016 07:56:55 PM,07/22/2016 07:56:55 PM,WEST,DAVID,D2
2549937,2013000025421,ASSISTANCE RENDERED,ONVIEW,9,-PRISONER ESCORT - BUSY CODE,"-ASSIGNED DUTY - TRANSPORT EVIDENCE,EQUIPMENT",01/23/2013 12:01:03 AM,01/23/2013 12:01:03 AM,NORTH,NORA,N3
4536907,2012000200792,REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",3,BURG - RES (INCL UNOCC STRUCTURES ON PROP),"--BURGLARY - RESIDENTIAL, UNOCCUPIED",06/26/2012 08:22:45 AM,06/26/2012 09:11:40 AM,SOUTH,ROBERT,R1
4553320,2015000245293,UNABLE TO LOCATE INCIDENT OR COMPLAINANT,"TELEPHONE OTHER, NOT 911",2,WARRANT - FELONY PICKUP,--WARRANT SERVICES - FELONY,07/17/2015 06:42:41 PM,01/01/1900 12:00:00 AM,WEST,MARY,M1
233687,2011000138918,PHYSICAL ARREST MADE,911,1,ASLT - IP/JO - DV,--DV - DOMESTIC VIOL/ASLT (ARREST MANDATORY),05/01/2011 11:06:46 PM,05/01/2011 11:11:04 PM,EAST,GEORGE,G3
2007594,2018000441955,FALSE COMPLAINT/UNFOUNDED,ALARM CALL (NOT POLICE ALARM),3,"ALARM - RESIDENTIAL - BURGLARY, SILENT/AUDIBLE",--ALARM-RESIDENTIAL BURG,11/26/2018 04:47:58 PM,11/26/2018 05:02:02 PM,WEST,QUEEN,Q2
4180726,2019000168638,ASSISTANCE RENDERED,ONVIEW,3,ASSIST PUBLIC - NO WELFARE CHK OR DV ORDER SERVICE,--ASSIST PUBLIC - OTHER (NON-SPECIFIED),05/11/2019 02:15:35 AM,05/11/2019 02:15:36 AM,WEST,DAVID,D2
1355640,2019000101498,ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",--PREMISE CHECKS - CRIME PREVENTION,03/21/2019 07:23:36 PM,03/21/2019 07:23:36 PM,WEST,KING,K1
2954468,2015000214109,ASSISTANCE RENDERED,911,3,SERVICE - WELFARE CHECK,--ASSIST PUBLIC - OTHER (NON-SPECIFIED),06/25/2015 02:31:31 AM,06/25/2015 02:42:01 AM,SOUTH,SAM,S3
3558482,2014000183414,REPORT WRITTEN (NO ARREST),911,6,SECONDARY - FORGERY/BUNCO/SCAMS/ID THEFT,"--FRAUD - FRAUD, INCLUDING BUNCO",06/09/2014 05:39:32 PM,06/09/2014 09:10:36 PM,NORTH,NORA,N3
4113980,2019000071846,CITATION ISSUED (CRIMINAL OR NON-CRIMINAL),"TELEPHONE OTHER, NOT 911",3,PARKING VIOLATION (EXCEPT ABANDONED CAR),--TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR),02/26/2019 09:15:38 PM,01/01/1900 12:00:00 AM,SOUTH,SAM,S2
900958,2010000372580,REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",3,BURG - RES (INCL UNOCC STRUCTURES ON PROP),"--BURGLARY - RESIDENTIAL, UNOCCUPIED",10/25/2010 08:10:24 AM,10/25/2010 08:32:03 AM,EAST,GEORGE,G2
1230211,2021000335205,ASSISTANCE RENDERED,ONVIEW,2,BURN - RECKLESS BURNING,--ASSIST PUBLIC - OTHER (NON-SPECIFIED),12/20/2021 05:48:35 PM,12/20/2021 05:48:35 PM,NORTH,BOY,B2
4849176,2012000004481,REPORT WRITTEN (NO ARREST),ONVIEW,3,"CHILD - ABAND, ABUSED, MOLESTED, NEGLECTED","--CHILD - ABANDONED, ABUSED AND NEGLECTED",01/05/2012 10:19:57 AM,01/05/2012 10:19:57 AM,SOUTH,SAM,S2
4779184,2013000344429,ASSISTANCE RENDERED,911,2,HAZ - POTENTIAL THRT TO PHYS SAFETY (NO HAZMAT),--ASSIST PUBLIC - OTHER (NON-SPECIFIED),09/21/2013 01:20:46 PM,09/21/2013 01:23:58 PM,EAST,GEORGE,G1
4314021,2011000118581,PROBLEM SOLVING PROJECT,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",--PREMISE CHECKS - BUSINESS CHECK,04/14/2011 03:55:40 AM,04/14/2011 03:55:40 AM,NORTH,UNION,U3
868069,2014000174497,ASSISTANCE RENDERED,911,2,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",--SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,06/02/2014 09:03:33 PM,06/02/2014 09:13:32 PM,WEST,QUEEN,Q1
2372665,2016000448751,ASSISTANCE RENDERED,ONVIEW,9,OFF DUTY EMPLOYMENT,-OFF DUTY EMPLOYMENT,12/14/2016 04:20:59 PM,12/14/2016 04:20:59 PM,WEST,DAVID,D2
2135164,2017000398621,OTHER REPORT MADE,ONVIEW,7,TRAFFIC STOP - OFFICER INITIATED ONVIEW,--TRAFFIC - MOVING VIOLATION,10/27/2017 07:51:51 AM,10/27/2017 07:51:51 AM,WEST,KING,K1
3253071,2022000031877,ASSISTANCE RENDERED,911,1,SFD - ASSIST ON FIRE OR MEDIC RESPONSE,--ASSIST OTHER AGENCY - CITY AGENCY,02/06/2022 10:43:12 PM,01/01/1900 12:00:00 AM,WEST,DAVID,D3
810040,2013000191410,ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",3,"ACC - REPORT, NON INJ/NON BLKG OR AFTER FACT INJ",--TRAFFIC - MV COLLISION INVESTIGATION,06/04/2013 03:51:56 PM,06/04/2013 05:07:36 PM,WEST,KING,K2
1212382,2016000360450,RESPONDING UNIT(S) CANCELLED BY RADIO,911,1,DOWN - CHECK FOR PERSON DOWN,--ASSIST OTHER AGENCY - CITY AGENCY,10/04/2016 09:01:58 PM,01/01/1900 12:00:00 AM,SOUTH,ROBERT,R1
3895843,2016000082056,UNABLE TO LOCATE INCIDENT OR COMPLAINANT,"TELEPHONE OTHER, NOT 911",2,"NARCOTICS - VIOLATIONS (LOITER, USE, SELL, NARS)",--NARCOTICS - OTHER,03/08/2016 09:10:18 AM,03/08/2016 10:08:05 AM,EAST,EDWARD,E3
637812,2020000110939,ORAL WARNING GIVEN,ONVIEW,7,TRAFFIC STOP - OFFICER INITIATED ONVIEW,--TRAFFIC - MOVING VIOLATION,04/01/2020 05:50:18 PM,04/01/2020 05:50:18 PM,SOUTH,OCEAN,O1
22320,2010000175385,ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",--PREMISE CHECKS - CRIME PREVENTION,05/27/2010 07:22:44 AM,05/27/2010 07:22:44 AM,WEST,KING,K2
1820747,2009000350911,ASSISTANCE RENDERED,911,3,"DISTURBANCE, MISCELLANEOUS/OTHER",TRESPASS,10/04/2009 07:19:49 PM,10/04/2009 09:17:16 PM,SOUTH,ROBERT,R3
1462681,2018000431865,UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,4,"NOISE - DIST, GENERAL (CONST, RESID, BALL PLAY)",--DISTURBANCE - NOISE RESIDENTIAL,11/18/2018 12:24:12 AM,01/01/1900 12:00:00 AM,NORTH,UNION,U3
